title,author,page_count,is_digital,genre,subject,grade_level,has_film_adaptation,has_review_questions,device_model,website,book_type
Girl who kicked the Hornets Nest,Steig Larsson,179,0,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
The Very Hungry Caterpillar,Eric Carle,22,1,children,NONE,NONE,1,0,NONE,NONE,1
All Freezer with IQ-Touch Owner Guide,ElectroLux,23,1,NONE,NONE,NONE,0,0,Refrigerator-EI32AF80QS,electroluxappliances.com/,3
The Great Gatsby,F. Scott Fitzgerald,180,1,classic,NONE,NONE,1,0,NONE,NONE,1
Fahrenheit 451,Ray Bradbury,256,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
Electric multifunction built-in oven 5 settings Installation and User 3,La Germania,80,0,NONE,NONE,NONE,0,0,Oven-F605LAGE,NONE,3
Blood of Elves,Andrzej Sapkowski,320,1,fantasy,NONE,NONE,0,0,NONE,NONE,1
Psychology: Contemporary Perspectives,Paul Okam,769,0,NONE,science,COLLEGE,0,1,NONE,NONE,2
Inspire Science: Earth,McGraw-Hill,792,1,NONE,science,JUNIOR HIGH,0,1,NONE,NONE,2
Window Type Air Conditioner Owner 3,LG Service,47,1,NONE,NONE,NONE,0,0,Air-LWGHD6500R,lgservice.com,3
Spectrum Math Workbook,Carson Dellosa,160,1,NONE,mathematics,ELEMENTARY,0,1,NONE,NONE,2
The Rebecca Notebook,Daphne du Maurier,416,0,mystery,NONE,NONE,1,0,NONE,NONE,1
The Complete Book of Spanish,Carson Dellosa,352,1,NONE,foreign language,ELEMENTARY,0,1,NONE,NONE,2
Flex Duo Chef Collection Double Wall Oven User 3,Samsung,68,1,NONE,NONE,NONE,0,0,Oven-NV51M9770DS,samsung.com,3
Of Mice and Men,John Steinbeck,107,0,classic,NONE,NONE,1,0,NONE,NONE,1
Pride and Prejudice,Jane Austen,408,1,classic,NONE,NONE,0,0,NONE,NONE,1
Middle Grades American History,Savvas Learning Co,657,1,NONE,history,JUNIOR HIGH,0,0,NONE,NONE,2
Cryptography Engineering Design Principles and Practical Applications,Bruce Schneier,384,1,NONE,computer science,COLLEGE,0,0,NONE,NONE,2
Discovering the World of Geography,Myrl Shireman ,338,1,NONE,science,JUNIOR HIGH,0,0,NONE,NONE,2
The Time Machine,H. G. Wells,84,0,science fiction,NONE,NONE,0,0,NONE,NONE,1
A Christmas Carol,Charles Dickens,196,1,classic,NONE,NONE,1,0,NONE,NONE,1
Complete Sherlock Holmes,Arthur Conan Doyle,176,0,mystery,NONE,NONE,1,0,NONE,NONE,1
Frankenstein,Mary Shelley,280,1,science fiction,NONE,NONE,1,0,NONE,NONE,1
The Name of the Rose,Umberto Eco,512,1,mystery,NONE,NONE,0,0,NONE,NONE,1
Digital Electronics: Principles and Applications,Roger Tokheim,572,1,NONE,computer science,HIGH SCHOOL,0,1,NONE,NONE,2
It,Stephen King,602,1,horror,NONE,NONE,1,0,NONE,NONE,1
33-inch Side-by-Side Owner’s 3,Amana,36,1,NONE,NONE,NONE,0,0,Refrigerator-ASI2175GRB,NONE,3
The Wife Between Us,Greer Hendricks,273,1,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
It Ends with Us: A 1,Colleen Hoover,384,1,romance,NONE,NONE,0,0,NONE,NONE,1
RESTful API Design,Matthias Biehl,294,1,NONE,computer science,COLLEGE,0,0,NONE,NONE,2
The Hive,Gregg Olsen,480,1,psychological thriller,NONE,NONE,0,0,NONE,NONE,1
The War of the Worlds,H. G. Wells,287,0,science fiction,NONE,NONE,1,0,NONE,NONE,1
The Dark Tower: The Gunslinger,Stephen King,300,1,fantasy,NONE,NONE,1,0,NONE,NONE,1
Six of Crows,Leigh Bardugo,465,1,fantasy,NONE,NONE,0,0,NONE,NONE,1
Over-the-Range Microwave User 3,Kenmore,77,1,NONE,NONE,NONE,0,0,Oven-80339,kenmore.com/products,3
The Devil In The White City,Erik Larson,447,0,horror,NONE,NONE,0,0,NONE,NONE,1
The Snowy Day,Ezra Jack Keats,40,1,children,NONE,NONE,0,0,NONE,NONE,1
The Complete Fairy Tales of the Brothers Grimm,Jacob Grimm,800,0,NONE,reading,COLLEGE,0,0,NONE,NONE,2
The Woman in the Window,A. J. Finn,448,1,psychological thriller,NONE,NONE,1,0,NONE,NONE,1
